uhf-0.75.log: SCF Done:  E(UHF) =  -108.079695056     A.U. after   11 cycles
uhf-0.80.log: SCF Done:  E(UHF) =  -108.407358654     A.U. after   11 cycles
uhf-0.90.log: SCF Done:  E(UHF) =  -108.782798945     A.U. after   12 cycles
uhf-0.95.log: SCF Done:  E(UHF) =  -108.876887452     A.U. after   12 cycles
uhf-1.00.log: SCF Done:  E(UHF) =  -108.929838389     A.U. after   12 cycles
uhf-1.05.log: SCF Done:  E(UHF) =  -108.952703866     A.U. after   12 cycles
uhf-1.10.log: SCF Done:  E(UHF) =  -108.953796240     A.U. after   12 cycles
uhf-1.15.log: SCF Done:  E(UHF) =  -108.939355901     A.U. after   12 cycles
uhf-1.20.log: SCF Done:  E(UHF) =  -108.914051972     A.U. after   13 cycles
1.3 SCF Done:  E(UHF) =  -108.879917930     A.U. after   19 cycles
1.4 SCF Done:  E(UHF) =  -108.843328740     A.U. after   13 cycles
1.5 SCF Done:  E(UHF) =  -108.811921107     A.U. after   14 cycles
1.6 SCF Done:  E(UHF) =  -108.787757086     A.U. after   14 cycles
1.7 SCF Done:  E(UHF) =  -108.773400980     A.U. after   14 cycles
1.8 SCF Done:  E(UHF) =  -108.767864980     A.U. after   12 cycles
1.9 SCF Done:  E(UHF) =  -108.767488898     A.U. after   11 cycles
2.0 SCF Done:  E(UHF) =  -108.769405741     A.U. after   10 cycles
2.1 SCF Done:  E(UHF) =  -108.772012554     A.U. after   10 cycles
2.2 SCF Done:  E(UHF) =  -108.774536700     A.U. after   10 cycles
2.3 SCF Done:  E(UHF) =  -108.776668086     A.U. after    9 cycles
2.4 SCF Done:  E(UHF) =  -108.778336022     A.U. after    9 cycles
2.5 SCF Done:  E(UHF) =  -108.779580957     A.U. after    9 cycles
