rhf-0.75.log: SCF Done:  E(UHF) =  -108.079695056     A.U. after    9 cycles
rhf-0.80.log: SCF Done:  E(UHF) =  -108.407358654     A.U. after    8 cycles
rhf-0.90.log: SCF Done:  E(UHF) =  -108.782798945     A.U. after    8 cycles
rhf-0.95.log: SCF Done:  E(UHF) =  -108.876887452     A.U. after    8 cycles
rhf-1.00.log: SCF Done:  E(UHF) =  -108.929838389     A.U. after    8 cycles
rhf-1.05.log: SCF Done:  E(UHF) =  -108.952703866     A.U. after    8 cycles
rhf-1.10.log: SCF Done:  E(UHF) =  -108.953796240     A.U. after    8 cycles
rhf-1.15.log: SCF Done:  E(UHF) =  -108.939355901     A.U. after    8 cycles
rhf-1.20.log: SCF Done:  E(UHF) =  -108.914051972     A.U. after    8 cycles
rhf-1.30.log: SCF Done:  E(UHF) =  -108.843887590     A.U. after    9 cycles
rhf-1.40.log: SCF Done:  E(UHF) =  -108.761717995     A.U. after    9 cycles
rhf-1.50.log: SCF Done:  E(UHF) =  -108.677513836     A.U. after    9 cycles
rhf-1.70.log: SCF Done:  E(UHF) =  -108.520608152     A.U. after    8 cycles
rhf-2.00.log: SCF Done:  E(UHF) =  -108.330582749     A.U. after    8 cycles
rhf-2.20.log: SCF Done:  E(UHF) =  -108.232686193     A.U. after    8 cycles
rhf-2.50.log: SCF Done:  E(UHF) =  -108.119753384     A.U. after    8 cycles
